Series Name,Series Code,Country Name,Country Code,2018 [YR2018]
"Mammal species, threatened",EN.MAM.THRD.NO,Ghana,GHA,21
"Mammal species, threatened",EN.MAM.THRD.NO,Gibraltar,GIB,3
"Mammal species, threatened",EN.MAM.THRD.NO,Greece,GRC,10
"Mammal species, threatened",EN.MAM.THRD.NO,Greenland,GRL,9
"Mammal species, threatened",EN.MAM.THRD.NO,Grenada,GRD,3
"Mammal species, threatened",EN.MAM.THRD.NO,Guam,GUM,3
"Mammal species, threatened",EN.MAM.THRD.NO,Guatemala,GTM,15
"Mammal species, threatened",EN.MAM.THRD.NO,Guinea,GIN,30
"Mammal species, threatened",EN.MAM.THRD.NO,Guinea-Bissau,GNB,14
"Mammal species, threatened",EN.MAM.THRD.NO,Guyana,GUY,11
"Mammal species, threatened",EN.MAM.THRD.NO,Haiti,HTI,4
"Mammal species, threatened",EN.MAM.THRD.NO,Honduras,HND,8
"Mammal species, threatened",EN.MAM.THRD.NO,"Hong Kong SAR, China",HKG,4
"Mammal species, threatened",EN.MAM.THRD.NO,Hungary,HUN,3
"Mammal species, threatened",EN.MAM.THRD.NO,Iceland,ISL,6
"Mammal species, threatened",EN.MAM.THRD.NO,India,IND,93
"Mammal species, threatened",EN.MAM.THRD.NO,Indonesia,IDN,191
"Mammal species, threatened",EN.MAM.THRD.NO,"Iran, Islamic Rep.",IRN,18
"Mammal species, threatened",EN.MAM.THRD.NO,Iraq,IRQ,13
"Mammal species, threatened",EN.MAM.THRD.NO,Ireland,IRL,5
"Mammal species, threatened",EN.MAM.THRD.NO,Isle of Man,IMN,0
"Mammal species, threatened",EN.MAM.THRD.NO,Israel,ISR,15
"Mammal species, threatened",EN.MAM.THRD.NO,Italy,ITA,8
"Mammal species, threatened",EN.MAM.THRD.NO,Jamaica,JAM,7
"Mammal species, threatened",EN.MAM.THRD.NO,Japan,JPN,29
"Mammal species, threatened",EN.MAM.THRD.NO,Jordan,JOR,13
"Mammal species, threatened",EN.MAM.THRD.NO,Kazakhstan,KAZ,16
"Mammal species, threatened",EN.MAM.THRD.NO,Kenya,KEN,30
"Mammal species, threatened",EN.MAM.THRD.NO,Kiribati,KIR,2
"Mammal species, threatened",EN.MAM.THRD.NO,"Korea, Dem. People’s Rep.",PRK,10
"Mammal species, threatened",EN.MAM.THRD.NO,"Korea, Rep.",KOR,12
"Mammal species, threatened",EN.MAM.THRD.NO,Kosovo,XKX,..
"Mammal species, threatened",EN.MAM.THRD.NO,Kuwait,KWT,7
"Mammal species, threatened",EN.MAM.THRD.NO,Kyrgyz Republic,KGZ,5
"Mammal species, threatened",EN.MAM.THRD.NO,Lao PDR,LAO,45
"Mammal species, threatened",EN.MAM.THRD.NO,Latvia,LVA,1
"Mammal species, threatened",EN.MAM.THRD.NO,Lebanon,LBN,10
"Mammal species, threatened",EN.MAM.THRD.NO,Lesotho,LSO,4
"Mammal species, threatened",EN.MAM.THRD.NO,Liberia,LBR,24
"Mammal species, threatened",EN.MAM.THRD.NO,Libya,LBY,10
"Mammal species, threatened",EN.MAM.THRD.NO,Liechtenstein,LIE,0
"Mammal species, threatened",EN.MAM.THRD.NO,Lithuania,LTU,2
"Mammal species, threatened",EN.MAM.THRD.NO,Luxembourg,LUX,0
"Mammal species, threatened",EN.MAM.THRD.NO,"Macao SAR, China",MAC,0
"Mammal species, threatened",EN.MAM.THRD.NO,Madagascar,MDG,121
"Mammal species, threatened",EN.MAM.THRD.NO,Malawi,MWI,10
"Mammal species, threatened",EN.MAM.THRD.NO,Malaysia,MYS,71
"Mammal species, threatened",EN.MAM.THRD.NO,Maldives,MDV,2
"Mammal species, threatened",EN.MAM.THRD.NO,Mali,MLI,14
"Mammal species, threatened",EN.MAM.THRD.NO,Malta,MLT,2
"Mammal species, threatened",EN.MAM.THRD.NO,Marshall Islands,MHL,1
"Mammal species, threatened",EN.MAM.THRD.NO,Mauritania,MRT,18
"Mammal species, threatened",EN.MAM.THRD.NO,Mauritius,MUS,7
"Mammal species, threatened",EN.MAM.THRD.NO,Mexico,MEX,96
"Mammal species, threatened",EN.MAM.THRD.NO,"Micronesia, Fed. Sts.",FSM,5
"Mammal species, threatened",EN.MAM.THRD.NO,Moldova,MDA,4
"Mammal species, threatened",EN.MAM.THRD.NO,Monaco,MCO,3
"Mammal species, threatened",EN.MAM.THRD.NO,Mongolia,MNG,11
"Mammal species, threatened",EN.MAM.THRD.NO,Montenegro,MNE,6
"Mammal species, threatened",EN.MAM.THRD.NO,Morocco,MAR,18
